empresa_de_transporte_marítimo,Nombre ,dirección_empresa,telefono_empresa,Ciudad,tipo_de_empresa
DERLING MEDARDO PALACIOS CORDOBA,DERLING MEDARDO PALACIOS CORDOBA,CALLE 101 11 07,827 52 31,Turbo,CABOTAJE PUBLICO
DIETRANS CARGO S A.S., ARIAS SIEGFRIED ALEJANDRO,CALLE 75 A No. 66 - 50 TORRE OFIESPACIOS OF 306 Bogotá,6798823,Bogotá,INTERNACIONAL PUBLICO
DOLE FRESH FRUIT INTERNATIONAL LIMITED,GOMEZ ARIZA CABRALES MARIA ELVIRA,CALLE 94 # 11-20 OFICINA 202,6354640,Bogotá,INTERNACIONAL PUBLICO
DOLE OCEAN CARGO EXPRESS INC,GOMEZ ARIZA CABRALES MARIA ELVIRA,CALLE 94 # 11-20 OFICINA 202,6354640,Bogotá,INTERNACIONAL PUBLICO
DREAMLINE CRUISES INC,EDUARDO ULLOA GARCIA,CARRERA 10 28 49,282 52 00,Bogotá,INTERNACIONAL PUBLICO
DSL STAR EXPRESS INC,HOVE THORKILD,GIRALDA FARMS MADISON AV MADISON NE YERSEY 07940,19735145000,Bogotá,INTERNACIONAL PUBLICO
DSV AIR & SEA SAS,EICHMANN PERRET ALAIN THIERRY,AV. DORADO N.97-51 OF 306,6057777,Bogotá,INTERNACIONAL PUBLICO
DURAN VALENCIA & CIA S EN C,OLMES DURAN IBARGUEN,CALLE 6 22 C - 14,243 31 63,Buenaventura,CABOTAJE PUBLICO
E C CARGO S.A.S.,MANUEL ANTONIO OVALLE SOTO,CALLE 95 11 A 37 OFICINA 205 206,622 08 85,Bogotá,INTERNACIONAL PUBLICO
ECULINE DE COLOMBIA S A,RAFAEL PLAZAS HERNANDEZ,CARRERA 103 # 47-85 OFICINA 110,4139556,Bogotá,INTERNACIONAL PUBLICO
EDGAR CUERO,EDGAR CUERO,CALLE 3 5 A 13,241 88 47,Buenaventura,INTERNACIONAL PUBLICO
EDGAR CUERO,EDGAR CUERO,CALLE 3 5 A 13,241 88 47,Buenaventura,CABOTAJE PUBLICO
EDWIN PAZ PAREDES Y HOOVER PAZ PAREDES,EDWIN PAZ PAREDES,CARRERA 65A # 7-12 APTO 302,922417019,Buenaventura,CABOTAJE PUBLICO
ELDA VALENCIA GARCES Y BREINER PAREDES ESTUPIÑAN,SEVERINO VALENCIA GARCES,CALLE 4 12 04,09224  11 914,Buenaventura,CABOTAJE PUBLICO
ELIZABETH ZUÑIGA GELES,ELIZABETH ZUÑIGA GELES,AVENIDA SAN MARTIN 5 52 BOCAGRANDE,655 13 05,Buenaventura,CABOTAJE PUBLICO
EMBARCACIONES ALFA,DIANA PATRICIA RENTERIA MOSQUERA,MUELLE TURISTICO TAQUILLA 6,2417599,Buenaventura,CABOTAJE PUBLICO
EMBARCACIONES ALFA,DIANA PATRICIA RENTERIA MOSQUERA,MUELLE TURISTICO TAQUILLA 6,2417599,Buenaventura,CABOTAJE PUBLICO
